index,class_name,original_comment,preprocessed_comment,categories
1,AccessMixin,functionality.,functionality.,['Summary']
8,Atomic,"when it s used as a decorator, call wraps the execution of the","when it s used as a decorator, call wraps the execution of the",['Usage']
12,Atomic,"exit commits the transaction or releases the savepoint on normal exit,","exit commits the transaction or releases the savepoint on normal exit,",['Usage']
14,Atomic,it s possible to disable the creation of savepoints if the goal is to,it s possible to disable the creation of savepoints if the goal is to,['Usage']
16,Atomic,a stack of savepoints identifiers is maintained as an attribute of the,a stack of savepoints identifiers is maintained as an attribute of the,['Usage']
18,Atomic,none denotes the absence of a savepoint.,none denotes the absence of a savepoint.,['Usage']
24,AtomicTests,"implementation , there are only a few basic tests with the decorator","implementation , there are only a few basic tests with the decorator",['Expand']
27,AutoFieldMeta,it is intended that autofieldmixin become public api when it is possible to,it is intended that autofieldmixin become public api when it is possible to,['Expand']
29,AutoFieldMeta,stored in the database.,stored in the database.,['Expand']
31,AutoFieldMeta,automatically generated field as a subclass of autofield.,automatically generated field as a subclass of autofield.,['Usage']
33,AutoFieldMeta,to be implemented on field to be used instead.,to be implemented on field to be used instead.,['Usage']
34,AutoFieldMeta,"when these issues have been addressed, this metaclass could be used to","when these issues have been addressed, this metaclass could be used to",['DevelopmentNotes']
38,BarAccount,a service specific account of type bar.,a service specific account of type bar.,['Summary']
40,BaseCommand,derive.,derive.,['Summary']
41,BaseCommand,use this class if you want access to all of the mechanisms which,use this class if you want access to all of the mechanisms which,['DevelopmentNotes']
42,BaseCommand,parse the command line arguments and work out what code to call in,parse the command line arguments and work out what code to call in,['DevelopmentNotes']
43,BaseCommand,"response if you don t need to change any of that behavior,","response if you don t need to change any of that behavior,",['DevelopmentNotes']
46,BaseCommand,"the command parsing and execution behavior, the normal flow works","the command parsing and execution behavior, the normal flow works",['Usage']
49,BaseCommand,django admin or manage^py loads the command class,django admin or manage.py loads the command class,['Usage']
52,BaseCommand,the run from argv method calls create parser to get,the run from argv method calls create parser to get,['Usage']
54,BaseCommand,any environment changes requested by options like,any environment changes requested by options like,['Usage']
55,BaseCommand,"pythonpath , and then calls the execute method,","pythonpath , and then calls the execute method,",['Usage']
56,BaseCommand,passing the parsed arguments.,passing the parsed arguments.,['Usage']
59,BaseCommand,calling the handle method with the parsed arguments any,calling the handle method with the parsed arguments any,['Usage']
61,BaseCommand,"output and, if the command is intended to produce a block of","output and, if the command is intended to produce a block of",['Usage']
62,BaseCommand,"sql statements, will be wrapped in begin and commit .","sql statements, will be wrapped in begin and commit .",['Usage']
63,BaseCommand,4,4,['Usage']
64,BaseCommand,if handle or execute raised any exception eg,if handle or execute raised any exception eg,['Usage']
65,BaseCommand,"commanderror , run from argv will instead print an error","commanderror , run from argv will instead print an error",['Usage']
66,BaseCommand,message to stderr .,message to stderr .,['Usage']
68,BaseCommand,subclasses many built in commands and command types either place,subclasses many built in commands and command types either place,['DevelopmentNotes']
69,BaseCommand,"all of their logic in handle , or perform some additional","all of their logic in handle , or perform some additional",['DevelopmentNotes']
70,BaseCommand,parsing work in handle and then delegate from it to more,parsing work in handle and then delegate from it to more,['DevelopmentNotes']
71,BaseCommand,specialized methods as needed.,specialized methods as needed.,['DevelopmentNotes']
74,BaseCommand,"a short description of the command, which will be printed in","a short description of the command, which will be printed in",['Parameters']
75,BaseCommand,output transaction,output transaction,['Parameters']
76,BaseCommand,a boolean indicating whether the command outputs sql,a boolean indicating whether the command outputs sql,['Parameters']
78,BaseCommand,wrapped with begin and commit .,wrapped with begin and commit .,['Parameters']
83,BaseCommand,migrations on disk don t match the migrations in the database.,migrations on disk don t match the migrations in the database.,['Parameters']
85,BaseCommand,"a boolean if true , entire django project will be checked for errors","a boolean if true , entire django project will be checked for errors",['Parameters']
86,BaseCommand,prior to executing the command.,prior to executing the command.,['Parameters']
87,BaseCommand,to validate an individual application s models,to validate an individual application s models,['Parameters']
91,BaseCommand,app registry.,app registry.,['Parameters']
92,BaseDatabaseSchemaEditor,this class and its subclasses are responsible for emitting schema changing,this class and its subclasses are responsible for emitting schema changing,"['DevelopmentNotes', 'Summary']"
93,BaseDatabaseSchemaEditor,"statements to the databases model creation removal alteration, field","statements to the databases model creation removal alteration, field","['DevelopmentNotes', 'Summary']"
94,BaseDatabaseSchemaEditor,"renaming, index fiddling, and so on.","renaming, index fiddling, and so on.","['DevelopmentNotes', 'Summary']"
95,BaseExpression,base class for all query expressions.,base class for all query expressions.,['Summary']
97,BaseUpdateView,using this base class requires subclassing to provide a response mixin.,using this base class requires subclassing to provide a response mixin.,['DevelopmentNotes']
98,BaseYearArchiveView,list of objects published in a given year.,list of objects published in a given year.,['Summary']
99,BCryptSHA256PasswordHasher,secure password hashing using the bcrypt algorithm recommended,secure password hashing using the bcrypt algorithm recommended,['Summary']
101,BCryptSHA256PasswordHasher,must first install the bcrypt library.,must first install the bcrypt library.,['Usage']
103,BoundWidget,this is useful for,this is useful for,['DevelopmentNotes']
105,BoundWidget,"for example, the following can be used in a","for example, the following can be used in a",['Usage']
109,BoundWidget,radio^choice label,radio.choice label,['Usage']
111,BoundWidget,label,label,['Usage']
112,BoundWidget,% endfor %,% endfor %,['Usage']
114,CacheHandler,ensure only one instance of each alias exists per thread.,ensure only one instance of each alias exists per thread.,['Expand']
115,Choices,class for creating enumerated choices.,class for creating enumerated choices.,"['Parameters', 'Summary']"
117,ChunkIter,given a file like object as the,given a file like object as the,['Expand']
119,Client,a class that can act as a client for testing purposes.,a class that can act as a client for testing purposes.,['Summary']
120,Client,"it allows the user to compose get and post requests, and","it allows the user to compose get and post requests, and",['Expand']
