index,class_name,original_comment,preprocessed_comment,categories
0,BlAnchorRelativeToElement,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,['Responsibilities']
2,BlArrowheadSimpleArrow,i am a simple arrow like arrowhead.,i am a simple arrow like arrowhead.,['Intent']
3,BlArrowheadSimpleArrow,both my size and arrow length depend on the curve width.,both my size and arrow length depend on the curve width.,['Intent']
4,BlArrowheadSimpleArrow,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.,['Keymessages']
8,BlArrowheadTriangle,i am a triangular arrow head.,i am a triangular arrow head.,['Intent']
10,BlArrowheadTriangle,it is possible to have a border around triangle by specifying a border width of a triangle arrowhead.,it is possible to have a border around triangle by specifying a border width of a triangle arrowhead.,['Keyimplementationpoints']
13,BlArrowheadTriangle,for solid arrowhead make background paint be the same as border paint.,for solid arrowhead make background paint be the same as border paint.,['Responsibilities']
16,BlChicken,blchicken open,blchicken open,['Example']
21,BlChildrenCollection,i provide a data structure independent api for adding and removing children.,i provide a data structure independent api for adding and removing children.,['Responsibilities']
23,BlChildrenCollection,i allow elements to optimize working with children for different scenarious.,i allow elements to optimize working with children for different scenarious.,['Responsibilities']
26,BlChildrenCollection,"a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.","a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.",['Responsibilities']
33,BlChildrenSubset,i capture a subset of children from a class blelement instance.,i capture a subset of children from a class blelement instance.,['Responsibilities']
34,BlChildrenSubset,i am an abstract class.,i am an abstract class.,['Intent']
35,BlChildrenSubset,i exist to explicitly capture and combine various ways of filtering and iterating over children.,i exist to explicitly capture and combine various ways of filtering and iterating over children.,['Responsibilities']
40,BlChildrenSubset,i do not enforce a lazy api.,i do not enforce a lazy api.,['Keymessages']
41,BlChildrenSubset,api,api,['Keymessages']
42,BlChildrenSubset,instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter.,instances of me are created by calling the factory method method blchildrensubset class # on on a subclass with an instance of class blchildren as parameter.,['Keymessages']
43,BlChildrenSubset,implementation details,implementation details,['Keyimplementationpoints']
47,BlClickEvent,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.,"['Keyimplementationpoints', 'Responsibilities']"
48,BlClickEvent,the order of fired events,the order of fired events,['Keyimplementationpoints']
50,BlClickEvent,mouse up,mouse up,['Keyimplementationpoints']
52,BlCompulsoryCombinationTest,this class contains tests,this class contains tests,['Responsibilities']
58,BlDecelerateInterpolator,setting factor to 10f produces an upside down y x^2 parabola.,setting factor to 10f produces an upside down y x ^ 2 parabola.,['Keyimplementationpoints']
60,BlDecelerateInterpolator,my formula is,my formula is,['Keyimplementationpoints']
68,BlDevScripterClickStep,here you can see how to configure a fire and check a click event on a child element,here you can see how to configure a fire and check a click event on a child element,['Example']
69,BlDragDelegate,drag delegate provides drag items when a visual element lifts.,drag delegate provides drag items when a visual element lifts.,['Responsibilities']
70,BlDragDelegate,drag gesture fails if there are no drag items,drag gesture fails if there are no drag items,['Responsibilities']
71,BlElementBoundsExamples,i contain examples of element bounds api,i contain examples of element bounds api,['Responsibilities']
74,BlElementDynamicTransformation,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as # extent or # position .,"['Responsibilities', 'Intent']"
75,BlElementDynamicTransformation,it means that matrix computation is performed only when requested taking owner element into account.,it means that matrix computation is performed only when requested taking owner element into account.,['Keyimplementationpoints']
76,BlElementEffect,i am the abstract root class for effects.,i am the abstract root class for effects.,['Intent']
77,BlElementEffect,i define the default drawing strategy before & after .,i define the default drawing strategy before & after .,['Responsibilities']
78,BlElementEffect,i can influence the bounds of my owner used to clip my owner .,i can influence the bounds of my owner used to clip my owner .,['Responsibilities']
80,BlElementPositionChangeTest,i contain examples of position change logging functionality,i contain examples of position change logging functionality,['Responsibilities']
81,BlElementRemovedEvent,is sent by an element after it is removed from the parent.,is sent by an element after it is removed from the parent.,['Collaborators']
85,BlElementRemovedEvent,child when blelementremovedevent do self inform removed from parent .,child when blelementremovedevent do self inform removed from parent .,['Example']
86,BlElementRemovedEvent,parent blelement new.,parent blelement new.,['Example']
87,BlElementRemovedEvent,parent addchild child.,parent addchild child.,['Example']
90,BlExampleCustomEventTarget,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,"['Responsibilities', 'Intent']"
91,BlExampleElementWithBrokenOnLayout,i am an element with a broken onlayout method that throws error subscriptoutofbounds,i am an element with a broken onlayout method that throws error subscriptoutofbounds,"['Responsibilities', 'Intent']"
92,BlExperimentalExamples,i contain experimental examples that only work in manually prepared laboratory environments.,i contain experimental examples that only work in manually prepared laboratory environments.,['Responsibilities']
94,BlFocusExamples,1 inspect run example,1 inspect run example,['Example']
95,BlFocusExamples,2 click one any cell to give it a focus blue border should appear,2 click one any cell to give it a focus blue border should appear,['Example']
97,BlGeometry,the geometry is used to define the geometry to be drawn and the interaction area.,the geometry is used to define the geometry to be drawn and the interaction area.,"['Responsibilities', 'Collaborators']"
98,BlGeometryAnchorListener,i am an event listener that listens anchor moved event send by anchor,i am an event listener that listens anchor moved event send by anchor,"['Responsibilities', 'Intent', 'Collaborators']"
99,BlGeometryAnchorMoved,i am sent when anchor s position changed,i am sent when anchor s position changed,['Responsibilities']
100,BlGeometryElement,i am a root class of geometry elements elements driven by geometry anchors.,i am a root class of geometry elements elements driven by geometry anchors.,"['Responsibilities', 'Intent']"
103,BlGridLayout,a grid consists of cells that are separated by invisible lines.,a grid consists of cells that are separated by invisible lines.,['Keyimplementationpoints']
105,BlGridLayout,"indices lie in closed interval 1, n 1 .","indices lie in closed interval 1, n 1 .",['Keyimplementationpoints']
106,BlGridLayout,"grid layout supports fitcontent, matchparent and exact resizing mode of the owner.","grid layout supports fitcontent, matchparent and exact resizing mode of the owner.",['Keyimplementationpoints']
107,BlGridLayout,children are allowed to have fitcontent and exact resizing modes.,children are allowed to have fitcontent and exact resizing modes.,['Keyimplementationpoints']
108,BlGridLayout,because child s matchparent does not make sense in case of grid users should use #fill to declare that child should take all available cell s space.,because child s matchparent does not make sense in case of grid users should use # fill to declare that child should take all available cell s space.,['Keyimplementationpoints']
110,BlGridLayout,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout.,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout.,['Keyimplementationpoints']
112,BlGridLayout,public api and key messages,public api and key messages,['Keymessages']
116,BlGridLayout,"alignmargins bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.","alignmargins bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.",['Keymessages']
118,BlGridLayout,internal representation and key implementation points.,internal representation and key implementation points.,['Keyimplementationpoints']
127,BlHandlerRegistry,registry,registry,['Example']
128,BlHeadlessHost,i am a fallback host that is chosen if there are no other available and supported hosts.,i am a fallback host that is chosen if there are no other available and supported hosts.,"['Responsibilities', 'Intent']"
129,BlHostPulseLoop,i am the bloc main loop.,i am the bloc main loop.,['Intent']
132,BlHostPulseLoop,this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete .,this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete .,['Keyimplementationpoints']
134,BlInfiniteDataSourceCommandType,i am a type of data source update command.,i am a type of data source update command.,['Intent']
135,BlInfiniteDataSourceCommandType,i suppose to be stateless and therefore immutable.,i suppose to be stateless and therefore immutable.,['Keyimplementationpoints']
139,BlInfiniteDataSourceItemRangeMoved,sent by,sent by,['Collaborators']
144,BlInfiniteDataSourceItemRangeMoved,"do event self inform item was moved from , event from asstring, to , event to asstring","do event self inform item was moved from , event from asstring, to , event to asstring",['Example']
145,BlInfiniteExampleClassesDataSource,i am a data source of the collection of all classes in the image,i am a data source of the collection of all classes in the image,"['Intent', 'Collaborators']"
146,BlInfiniteItemAnimationsFinished,"i can be used, for example, to delay an action in a data set until currently running animations are complete.","i can be used, for example, to delay an action in a data set until currently running animations are complete.",['Responsibilities']
156,BlLayout,i am attached to a bloc element and define the visual structure of that bloc element.,i am attached to a bloc element and define the visual structure of that bloc element.,"['Responsibilities', 'Collaborators']"
158,BlLayout,layout constraints,layout constraints,['Keyimplementationpoints']
159,BlLayout,i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout.,i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout.,['Keyimplementationpoints']
161,BlLayout,"each layout has a dedicated constraint objects, instance of class bllayoutcommonconstraints , that contain these common constraints.","each layout has a dedicated constraint objects, instance of class bllayoutcommonconstraints , that contain these common constraints.",['Keyimplementationpoints']
162,BlLayout,each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints .,each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints .,['Keyimplementationpoints']
163,BlLayout,layout phase in a frame,layout phase in a frame,['Keyimplementationpoints']
164,BlLayout,layouting of elements is a phase executed by a space during every frame.,layouting of elements is a phase executed by a space during every frame.,['Keyimplementationpoints']
