index,class_name,original_comment,preprocessed_comment,categories
1,Abfss.java,this impl delegates to the old filesystem,this impl delegates to the old filesystem,['Expand']
2,AbstractContractGetFileStatusTest.java,test getfilestatus and related listing operations.,test getfilestatus and related listing operations.,['summary']
15,AbstractContractGetFileStatusTest.java,a filesystem filter which exposes the protected method,a filesystem filter which exposes the protected method,['Expand']
16,AbstractContractGetFileStatusTest.java,"@link #listlocatedstatus path, pathfilter .","@link #listlocatedstatus path, pathfilter .",['Expand']
18,ApplicationConstants.java,the type of launch for the container.,the type of launch for the container.,['Expand']
22,AutoInputFormat.java,it can currently handle text and sequence files.,it can currently handle text and sequence files.,['Expand']
25,BalancingPolicy.java,cluster is balanced if each pool in each node is balanced.,cluster is balanced if each pool in each node is balanced.,['rational']
28,BatchedRequests.java,to place as a batch.,to place as a batch.,['summary']
32,BatchedRequests.java,iterator type.,iterator type.,['summary']
34,BlocksMap.java,this class maintains the map from a block to its metadata.,this class maintains the map from a block to its metadata.,['summary']
37,BlockUtils.java,utils functions to help block functions.,utils functions to help block functions.,"['summary', 'rational']"
38,CapacitySchedulerPlanFollower.java,this class implements a @link planfollower .,this class implements a @link planfollower .,['summary']
39,CapacitySchedulerPlanFollower.java,"this is invoked on a timer, and","this is invoked on a timer, and",['summary']
41,CapacitySchedulerPlanFollower.java,@link capacityscheduler .,@link capacityscheduler .,['summary']
43,CapacitySchedulerPlanFollower.java,"adding removing resizing leaf queues in the scheduler, thus affecting the","adding removing resizing leaf queues in the scheduler, thus affecting the",['Expand']
44,CapacitySchedulerPlanFollower.java,dynamic behavior of the scheduler in a way that is consistent with the,dynamic behavior of the scheduler in a way that is consistent with the,['Expand']
45,CapacitySchedulerPlanFollower.java,content of the plan.,content of the plan.,['Expand']
47,CapacitySchedulerPlanFollower.java,are available in the cluster.,are available in the cluster.,['Expand']
48,CapacitySchedulerPlanFollower.java,"this implementation of planfollower is relatively stateless, and it can","this implementation of planfollower is relatively stateless, and it can",['rational']
50,CapacitySchedulerPlanFollower.java,differences among existing queues .,differences among existing queues .,['rational']
52,CapacitySchedulerPlanFollower.java,"synchronization, and rm restart issues no catch up is necessary .","synchronization, and rm restart issues no catch up is necessary .",['rational']
53,Classpath.java,the output likely will include wildcards in the classpath.,the output likely will include wildcards in the classpath.,['Expand']
56,ComparableVersion.java,code source of this file http grepcode^com file repo1^maven.org maven2 org^apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion^java modifications made on top of the source 1.,code source of this file http grepcode.com file repo1.maven.org maven2 org.apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion.java modifications made on top of the source 1.,['Pointer']
58,ComparableVersion.java,generic implementation of version comparison.,generic implementation of version comparison.,"['summary', 'usage']"
59,ComparableVersion.java,p features,p features,['usage']
61,ComparableVersion.java,li code milestone code or code m code li,li code milestone code or code m code li,['usage']
62,ComparableVersion.java,li code rc code or code cr code li,li code rc code or code cr code li,['usage']
64,ComparableVersion.java,li code the empty string code or code ga code or code final code li,li code the empty string code or code ga code or code final code li,['usage']
67,ComparableVersion.java,"unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive ,","unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive ,",['usage']
71,ComparableVersion.java,represents a numeric item in the version item list.,represents a numeric item in the version item list.,"['summary', 'usage']"
72,ComparableVersion.java,"represents a string in the version item list, usually a qualifier.","represents a string in the version item list, usually a qualifier.","['summary', 'usage']"
73,ComparableVersion.java,represents a version list item.,represents a version list item.,"['summary', 'usage']"
74,ComparableVersion.java,this class is used both for the global item list and for sub lists which start,this class is used both for the global item list and for sub lists which start,"['summary', 'usage']"
75,ComparableVersion.java,with number in the version specification .,with number in the version specification .,['summary']
76,ConfigurationException.java,exception to throw in case of a configuration problem.,exception to throw in case of a configuration problem.,['summary']
77,CpuTimeTracker.java,utility for sampling and computing cpu usage.,utility for sampling and computing cpu usage.,"['summary', 'rational']"
78,DBProfile.java,user visible configs based rocksdb tuning page.,user visible configs based rocksdb tuning page.,['summary']
79,DBProfile.java,documentation for options.,documentation for options.,"['usage', 'Pointer']"
81,DBProfile.java,https github^com facebook rocksdb blob master include rocksdb options^h,https github.com facebook rocksdb blob master include rocksdb options.h,"['usage', 'Pointer']"
83,DBProfile.java,most tuning parameters are based on this url.,most tuning parameters are based on this url.,"['usage', 'Pointer']"
85,DBProfile.java,https github^com facebook rocksdb wiki setup options and basic tuning,https github.com facebook rocksdb wiki setup options and basic tuning,"['usage', 'Pointer']"
86,DefaultAnonymizingRumenSerializer.java,default rumen json serializer.,default rumen json serializer.,['summary']
103,DelegatingSSLSocketFactory.java,system installed openssl.,system installed openssl.,['usage']
117,DelegatingSSLSocketFactory.java,"however, the name","however, the name",['rational']
118,DelegatingSSLSocketFactory.java,was not changed in order to preserve backwards compatibility.,was not changed in order to preserve backwards compatibility.,"['usage', 'rational']"
122,DelegatingSSLSocketFactory.java,implementation with no changes to the list of enabled ciphers.,implementation with no changes to the list of enabled ciphers.,"['usage', 'rational']"
125,DelegationTokenIdentifier.java,a delegation token identifier that is specific to hdfs.,a delegation token identifier that is specific to hdfs.,"['summary', 'Expand']"
127,DiskBalancerCluster.java,diskbalancercluster represents the nodes that we are working against.,diskbalancercluster represents the nodes that we are working against.,['summary']
129,DiskBalancerCluster.java,please note,please note,['Expand']
130,DiskBalancerCluster.java,semantics of inclusionlist and exclusionlists.,semantics of inclusionlist and exclusionlists.,['Expand']
132,DiskBalancerCluster.java,if a non empty inclusionlist is specified then the diskbalancer assumes that,if a non empty inclusionlist is specified then the diskbalancer assumes that,['Expand']
136,DiskBalancerCluster.java,not in exclusionlist is processed.,not in exclusionlist is processed.,['Expand']
138,DiskBalancerCluster.java,"if inclusionlist is empty, then we assume that all live nodes in the nodes is","if inclusionlist is empty, then we assume that all live nodes in the nodes is",['Expand']
140,DiskBalancerCluster.java,in that case diskbalancer will avoid any,in that case diskbalancer will avoid any,['Expand']
141,DiskBalancerCluster.java,nodes specified in the exclusionlist but will process all nodes in the,nodes specified in the exclusionlist but will process all nodes in the,['Expand']
142,DiskBalancerCluster.java,cluster.,cluster.,['Expand']
145,DiskBalancerCluster.java,only a given list is processed and exclusionlist is always honored.,only a given list is processed and exclusionlist is always honored.,['Expand']
146,DistributedSchedulingAllocateRequest.java,"object used by the application master when distributed scheduling is enabled,","object used by the application master when distributed scheduling is enabled,",['summary']
150,EditLogTailer.java,fsnamesystem.,fsnamesystem.,['summary']
151,EditLogTailer.java,the thread which does the actual work of tailing edits journals and,the thread which does the actual work of tailing edits journals and,['Expand']
154,EditLogTailer.java,this cannot just be the a single proxy since we could,this cannot just be the a single proxy since we could,['rational']
158,EditLogTailer.java,against it.,against it.,['rational']
162,EditLogTailer.java,retries before throwing up our hands.,retries before throwing up our hands.,['rational']
163,EditLogTailer.java,a working proxy is retained across attempts since we,a working proxy is retained across attempts since we,['rational']
170,ErasureCodingPolicyManager.java,namenode image.,namenode image.,['Expand']
171,ErasureCodingPolicyManager.java,this class is instantiated by the fsnamesystem.,this class is instantiated by the fsnamesystem.,"['usage', 'Pointer']"
172,EventWatcher.java,event watcher the re send a message after timeout.,event watcher the re send a message after timeout.,['summary']
173,EventWatcher.java,event watcher will send the tracked payload event after a timeout period,event watcher will send the tracked payload event after a timeout period,['rational']
174,EventWatcher.java,unless a confirmation from the original event completion event is arrived.,unless a confirmation from the original event completion event is arrived.,['rational']
175,EventWatcher.java,@param timeout payload the type of the events which are tracked.,@param timeout payload the type of the events which are tracked.,['Pointer']
178,FairOrderingPolicy.java,an orderingpolicy which orders schedulableentities for fairness see,an orderingpolicy which orders schedulableentities for fairness see,"['summary', 'Pointer']"
179,FairOrderingPolicy.java,fairscheduler,fairscheduler,"['summary', 'Pointer']"
180,FairOrderingPolicy.java,"fairsharepolicy , generally, processes with lesser usage are lesser.","fairsharepolicy , generally, processes with lesser usage are lesser.","['summary', 'Pointer']"
181,FairOrderingPolicy.java,if,if,['usage']
182,FairOrderingPolicy.java,sizedbasedweight is set to true then an application with high demand,sizedbasedweight is set to true then an application with high demand,['usage']
186,FairOrderingPolicy.java,"continuously optional, default false","continuously optional, default false",['usage']
189,FileSystemApplicationHistoryStore.java,file system implementation of @link applicationhistorystore .,file system implementation of @link applicationhistorystore .,"['summary', 'Pointer']"
194,FileSystemApplicationHistoryStore.java,"open a file, while @link #applicationfinished applicationfinishdata is","open a file, while @link #applicationfinished applicationfinishdata is","['Expand', 'Pointer']"
197,FsConstants.java,filesystem related constants.,filesystem related constants.,['summary']
199,HadoopIllegalArgumentException.java,indicates that a method has been passed illegal or invalid argument.,indicates that a method has been passed illegal or invalid argument.,['summary']
206,InconsistentS3ClientFactory.java,just by editing the hadoop configuration used to bring up the client.,just by editing the hadoop configuration used to bring up the client.,['usage']
211,ITestListPerformance.java,test list performance.,test list performance.,['summary']
215,KerberosDelegationTokenAuthenticator.java,kerberos spnego authentication mechanism and support for hadoop delegation,kerberos spnego authentication mechanism and support for hadoop delegation,['summary']
216,KerberosDelegationTokenAuthenticator.java,token operations.,token operations.,['summary']
219,KerberosDelegationTokenAuthenticator.java,endpoint does not trigger a spnego authentication,endpoint does not trigger a spnego authentication,"['Expand', 'Pointer']"
223,LoggedTask.java,a @link loggedtask represents a hadoop task that is part of a hadoop job.,a @link loggedtask represents a hadoop task that is part of a hadoop job.,"['summary', 'Pointer']"
227,LoggedTask.java,want to write out in the json files.,want to write out in the json files.,['usage']
228,LogParserUtil.java,common utility functions for @link logparser .,common utility functions for @link logparser .,"['summary', 'Pointer']"
230,LRUCacheHashMap.java,lru cache with a configurable maximum cache size and access order.,lru cache with a configurable maximum cache size and access order.,"['summary', 'Expand']"
234,MapContext.java,@param valuein the value input type to the mapper,@param valuein the value input type to the mapper,['usage']
236,MapContext.java,@param valueout the value output type from the mapper,@param valueout the value output type from the mapper,['usage']
237,MetaBlockAlreadyExists.java,exception meta block with the same name already exists.,exception meta block with the same name already exists.,['summary']
238,MetricsCache.java,a metrics cache for sinks that don t support sparse updates.,a metrics cache for sinks that don t support sparse updates.,['summary']
239,MetricsCache.java,cached record,cached record,['Expand']
241,NativeSingleLineParser.java,this sample parser will parse the sample log and extract the resource,this sample parser will parse the sample log and extract the resource,['summary']
242,NativeSingleLineParser.java,skyline.,skyline.,['summary']
245,Nfs3Status.java,success or error status is reported in nfs3 responses.,success or error status is reported in nfs3 responses.,['summary']
247,Node2ObjectsMap.java,this information is built from the dn container reports.,this information is built from the dn container reports.,['Expand']
249,NullOutputFormat.java,consume all outputs and put them in dev null.,consume all outputs and put them in dev null.,"['summary', 'Expand']"
250,OMNodeDetails.java,this class stores om node details.,this class stores om node details.,['summary']
251,OMNodeDetails.java,builder class for omnodedetails.,builder class for omnodedetails.,"['summary', 'Pointer']"
252,OpportunisticContainersStatusPBImpl.java,protocol buffer implementation of opportunisticcontainersstatus.,protocol buffer implementation of opportunisticcontainersstatus.,['summary']
253,OzoneObj.java,class representing an unique ozone object.,class representing an unique ozone object.,['summary']
254,OzoneObj.java,ozone objects supported for acl.,ozone objects supported for acl.,['Expand']
255,OzoneObj.java,ozone objects supported for acl.,ozone objects supported for acl.,['Expand']
256,Parser.java,a class for parsing outputs,a class for parsing outputs,['summary']
257,PartialOutputCommitter.java,interface for an @link org^apache.hadoop^mapreduce.outputcommitter,interface for an @link org.apache.hadoop.mapreduce.outputcommitter,['Pointer']
258,PartitionResourcesInfo.java,this class represents queue user resource usage info for a given partition,this class represents queue user resource usage info for a given partition,"['summary', 'rational']"
259,ProcessIdFileReader.java,helper functionality to read the pid from a file.,helper functionality to read the pid from a file.,['summary']
262,QuasiMonteCarlo.java,arbitrary integrals can be approximated numerically by qmc methods.,arbitrary integrals can be approximated numerically by qmc methods.,['Expand']
263,QuasiMonteCarlo.java,"in this example,","in this example,","['usage', 'Pointer']"
264,QuasiMonteCarlo.java,"we use a qmc method to approximate the integral i int s f x dx ,","we use a qmc method to approximate the integral i int s f x dx ,","['usage', 'Pointer']"
265,QuasiMonteCarlo.java,"where s 0,1 ^2 is a unit square,","where s 0,1 .2 is a unit square,",['usage']
266,QuasiMonteCarlo.java,"x x 1,x 2 is a 2 dimensional point,","x x 1,x 2 is a 2 dimensional point,",['usage']
267,QuasiMonteCarlo.java,"and f is a function describing the inscribed circle of the square s ,","and f is a function describing the inscribed circle of the square s ,",['usage']
268,QuasiMonteCarlo.java,"f x 1 if 2x 1 1 ^2 2x 2 1 ^2 &lt 1 and f x 0 , otherwise.","f x 1 if 2x 1 1 .2 2x 2 1 .2 &lt 1 and f x 0 , otherwise.",['usage']
269,QuasiMonteCarlo.java,it is easy to see that pi is equal to 4i .,it is easy to see that pi is equal to 4i .,['usage']
270,QuasiMonteCarlo.java,so an approximation of pi is obtained once i is evaluated numerically.,so an approximation of pi is obtained once i is evaluated numerically.,['usage']
